FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250808;0000;102;;;
250808;0100;149;;;
250808;0200;59;;;
250808;0300;30;;;
250808;0400;32;;;
250808;0500;27;;;
250808;0600;32;;;
250808;0700;37;;;
250808;0800;48;;;
250808;0900;85;;;
250808;1000;68;;;
250808;1100;62;;;
250808;1200;38;;;
250808;1300;41;;;
250808;1400;27;;;
250808;1500;29;;;
250808;1600;21;;;
250808;1700;24;;;
250808;1800;33;;;
250808;1900;14;;;
250808;2000;85;;;
250808;2100;114;;;
250808;2200;149;;;
250808;2300;103;;;
250809;0000;96;;;
250809;0100;54;;;
250809;0200;73;;;
250809;0300;74;;;
250809;0400;51;;;
250809;0500;51;;;
250809;0600;52;;;
250809;0700;55;;;
250809;0800;47;;;
250809;0900;83;;;
250809;1000;52;;;
250809;1100;55;;;
250809;1200;18;;;
250809;1300;28;;;
250809;1400;20;;;
250809;1500;19;;;
250809;1600;29;;;
250809;1700;16;;;
250809;1800;18;;;
250809;1900;21;;;
250809;2000;16;;;
250809;2100;8;;;
250809;2200;9;;;
250809;2300;9;;;
250810;0000;24;;;
250810;0100;3;;;
250810;0200;10;;;
250810;0300;9;;;
250810;0400;6;;;
250810;0500;4;;;
250810;0600;3;;;
250810;0700;3;;;
250810;0800;5;;;
250810;0900;5;;;
250810;1000;7;;;
250810;1100;12;;;
250810;1200;13;;;
250810;1300;15;;;
250810;1400;11;;;
250810;1500;13;;;
250810;1600;16;;;
250810;1700;21;;;
250810;1800;19;;;
250810;1900;10;;;
250810;2000;17;;;
250810;2100;7;;;
250810;2200;21;;;
250810;2300;16;;;
250811;0000;6;;;
250811;0100;17;;;
250811;0200;16;;;
250811;0300;9;;;
250811;0400;6;;;
250811;0500;6;;;
250811;0600;17;;;
250811;0700;6;;;
250811;0800;5;;;
250811;0900;5;;;
250811;1000;6;;;
250811;1100;6;;;
250811;1200;6;;;
250811;1300;6;;;
250811;1400;17;;;
250811;1500;11;;;
250811;1600;12;;;
250811;1700;10;;;
250811;1800;7;;;
250811;1900;10;;;
250811;2000;6;;;
250811;2100;1;;;
250811;2200;1;;;
250811;2300;1;;;
250812;0000;2;;;
250812;0100;1;;;
250812;0200;1;;;
250812;0300;1;;;
250812;0400;1;;;
250812;0500;1;;;
250812;0600;1;;;
250812;0700;1;;;
250812;0800;1;;;
250812;0900;1;;;
250812;1000;9;;;
250812;1100;6;;;
250812;1200;1;;;
250812;1300;13;;;
250812;1400;6;;;
250812;1500;1;;;
250812;1600;5;;;
250812;1700;3;;;
250812;1800;8;;;
250812;1900;18;;;
250812;2000;19;;;
250812;2100;2;;;
250812;2200;2;;;
250812;2300;2;;;
250813;0000;8;;;
250813;0100;6;;;
250813;0200;3;;;
250813;0300;2;;;
250813;0400;2;;;
250813;0500;4;;;
250813;0600;4;;;
250813;0700;4;;;
250813;0800;4;;;
250813;0900;10;;;
250813;1000;21;;;
250813;1100;54;;;
250813;1200;61;;;
250813;1300;54;;;
250813;1400;20;;;
250813;1500;18;;;
250813;1600;12;;;
250813;1700;16;;;
250813;1800;8;;;
250813;1900;9;;;
250813;2000;20;;;
250813;2100;59;;;
250813;2200;95;;;
250813;2300;231;;;
250814;0000;228;;;
250814;0100;128;;;
250814;0200;71;;;
250814;0300;51;;;
250814;0400;32;;;
250814;0500;26;;;
250814;0600;31;;;
250814;0700;39;;;
250814;0800;58;;;
250814;0900;80;;;
250814;1000;119;;;
250814;1100;84;;;
250814;1200;23;;;
250814;1300;38;;;
250814;1400;28;;;
250814;1500;12;;;
250814;1600;9;;;
250814;1700;9;;;
250814;1800;17;;;
250814;1900;8;;;
250814;2000;9;;;
250814;2100;57;;;
250814;2200;96;;;
250814;2300;109;;;
250815;0000;139;;;
250815;0100;82;;;
250815;0200;160;;;
250815;0300;127;;;
250815;0400;93;;;
250815;0500;65;;;
250815;0600;48;;;
250815;0700;17;;;
250815;0800;34;;;
250815;0900;44;;;
250815;1000;64;;;
250815;1100;37;;;
250815;1200;24;;;
250815;1300;24;;;
250815;1400;8;;;
250815;1500;6;;;
250815;1600;3;;;
250815;1700;1;;;
250815;1800;1;;;
250815;1900;3;;;
250815;2000;26;;;
250815;2100;41;;;
250815;2200;49;;;
250815;2300;21;;;
250816;0000;53;;;
250816;0100;47;;;
250816;0200;42;;;
250816;0300;10;;;
250816;0400;10;;;
250816;0500;7;;;
250816;0600;4;;;
250816;0700;2;;;
250816;0800;5;;;
250816;0900;5;;;
250816;1000;2;;;
250816;1100;3;;;
250816;1200;2;;;
250816;1300;1;;;
250816;1400;1;;;
250816;1500;2;;;
250816;1600;1;;;
250816;1700;1;;;
250816;1800;3;;;
250816;1900;11;;;
250816;2000;82;;;
250816;2100;38;;;
250816;2200;28;;;
250816;2300;24;;;
250817;0000;36;;;
250817;0100;26;;;
250817;0200;16;;;
250817;0300;17;;;
250817;0400;26;;;
250817;0500;18;;;
250817;0600;3;;;
250817;0700;3;;;
250817;0800;35;;;
250817;0900;35;;;
250817;1000;29;;;
250817;1100;13;;;
250817;1200;15;;;
250817;1300;17;;;
250817;1400;17;;;
250817;1500;8;;;
250817;1600;9;;;
250817;1700;11;;;
250817;1800;13;;;
250817;1900;13;;;
250817;2000;18;;;
250817;2100;10;;;
250817;2200;9;;;
250817;2300;12;;;
250818;0000;19;;;
250818;0100;5;;;
250818;0200;21;;;
250818;0300;12;;;
250818;0400;7;;;
250818;0500;3;;;
250818;0600;2;;;
250818;0700;;;;
250818;0800;2;;;
250818;0900;5;;;
250818;1000;6;;;
250818;1100;10;;;
250818;1200;10;;;
250818;1300;10;;;
250818;1400;9;;;
250818;1500;8;;;
250818;1600;9;;;
250818;1700;10;;;
250818;1800;13;;;
250818;1900;11;;;
250818;2000;8;;;
250818;2100;16;;;
250818;2200;19;;;
250818;2300;8;;;
250819;0000;6;;;
250819;0100;4;;;
250819;0200;4;;;
250819;0300;3;;;
250819;0400;5;;;
250819;0500;9;;;
250819;0600;10;;;
250819;0700;7;;;
250819;0800;9;;;
250819;0900;13;;;
250819;1000;14;;;
250819;1100;13;;;
250819;1200;;;;
250819;1300;4;;;
250819;1400;9;;;
250819;1500;8;;;
250819;1600;7;;;
250819;1700;16;;;
250819;1800;16;;;
250819;1900;10;;;
250819;2000;42;;;
250819;2100;38;;;
250819;2200;19;;;
250819;2300;4;;;
250820;0000;2;;;
250820;0100;7;;;
250820;0200;15;;;
250820;0300;7;;;
250820;0400;1;;;
250820;0500;1;;;
250820;0600;1;;;
250820;0700;1;;;
250820;0800;3;;;
250820;0900;21;;;
250820;1000;3;;;
250820;1100;5;;;
250820;1200;18;;;
250820;1300;10;;;
250820;1400;11;;;
250820;1500;7;;;
250820;1600;4;;;
250820;1700;1;;;
250820;1800;2;;;
250820;1900;4;;;
250820;2000;1;;;
250820;2100;1;;;
250820;2200;1;;;
250820;2300;9;;;
250821;0000;7;;;
250821;0100;6;;;
250821;0200;4;;;
250821;0300;3;;;
250821;0400;2;;;
250821;0500;1;;;
250821;0600;1;;;
250821;0700;1;;;
250821;0800;1;;;
250821;0900;1;;;
250821;1000;3;;;
250821;1100;3;;;
250821;1200;1;;;
250821;1300;1;;;
250821;1400;1;;;
250821;1500;3;;;
250821;1600;3;;;
250821;1700;7;;;
250821;1800;7;;;
250821;1900;4;;;
250821;2000;6;;;
250821;2100;6;;;
250821;2200;32;;;
250821;2300;23;;;
250822;0000;18;;;
250822;0100;1;;;
250822;0200;1;;;
250822;0300;1;;;
250822;0400;1;;;
250822;0500;1;;;
250822;0600;1;;;
250822;0700;5;;;
250822;0800;13;;;
250822;0900;7;;;
250822;1000;2;;;
250822;1100;1;;;
250822;1200;1;;;
250822;1300;5;;;
250822;1400;4;;;
250822;1500;3;;;
250822;1600;4;;;
250822;1700;3;;;
250822;1800;3;;;
250822;1900;40;;;
250822;2000;65;;;
250822;2100;70;;;
250822;2200;6;;;
250822;2300;85;;;
250823;0000;56;;;
250823;0100;35;;;
250823;0200;15;;;
250823;0300;10;;;
250823;0400;10;;;
250823;0500;9;;;
250823;0600;5;;;
250823;0700;4;;;
250823;0800;7;;;
250823;0900;6;;;
250823;1000;3;;;
250823;1100;4;;;
250823;1200;2;;;
250823;1300;4;;;
250823;1400;7;;;
250823;1500;7;;;
250823;1600;3;;;
250823;1700;6;;;
