FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
251021;2200;3;;;
251021;2300;3;;;
251022;0000;4;;;
251022;0100;3;;;
251022;0200;7;;;
251022;0300;7;;;
251022;0400;1;;;
251022;0500;6;;;
251022;0600;13;;;
251022;0700;17;;;
251022;0800;11;;;
251022;0900;1;;;
251022;1000;1;;;
251022;1100;1;;;
251022;1200;1;;;
251022;1300;;1;;
251022;1400;1;;;
251022;1500;10;;;
251022;1600;14;;;
251022;1700;15;;;
251022;1800;22;;;
251022;1900;20;;;
251022;2000;16;;;
251022;2100;3;;;
251022;2200;1;;;
251022;2300;;1;;
251023;0000;;1;;
251023;0100;1;;;
251023;0200;1;;;
251023;0300;;1;;
251023;0400;1;;;
251023;0500;10;;;
251023;0600;14;;;
251023;0700;10;;;
251023;0800;6;;;
251023;0900;6;;;
251023;1000;8;;;
251023;1100;13;;;
251023;1200;15;;;
251023;1300;14;;;
251023;1400;9;;;
251023;1500;7;;;
251023;1600;8;;;
251023;1700;12;;;
251023;1800;12;;;
251023;1900;7;;;
251023;2000;2;;;
251023;2100;2;;;
251023;2200;6;;;
251023;2300;6;;;
251024;0000;6;;;
251024;0100;14;;;
251024;0200;21;;;
251024;0300;28;;;
251024;0400;30;;;
251024;0500;21;;;
251024;0600;9;;;
251024;0700;7;;;
251024;0800;1;;;
251024;0900;3;;;
251024;1000;7;;;
251024;1100;12;;;
251024;1200;12;;;
251024;1300;8;;;
251024;1400;9;;;
251024;1500;12;;;
251024;1600;21;;;
251024;1700;27;;;
251024;1800;18;;;
251024;1900;12;;;
251024;2000;6;;;
251024;2100;3;;;
251024;2200;1;;;
251024;2300;;;;
251025;0000;;;;
251025;0100;15;;;
251025;0200;18;;;
251025;0300;13;;;
251025;0400;6;;;
251025;0500;11;;;
251025;0600;22;;;
251025;0700;21;;;
251025;0800;24;;;
251025;0900;23;;;
251025;1000;13;;;
251025;1100;1;;;
251025;1200;3;;;
251025;1300;10;;;
251025;1400;7;;;
251025;1500;15;;;
251025;1600;22;;;
251025;1700;24;;;
251025;1800;30;;;
251025;1900;30;;;
251025;2000;22;;;
251025;2100;7;;;
251025;2200;2;;;
251025;2300;3;;;
251026;0000;12;;;
251026;0100;12;;;
251026;0200;4;;;
251026;0300;5;;;
251026;0400;8;;;
251026;0500;2;;;
251026;0600;4;;;
251026;0700;11;;;
251026;0800;17;;;
251026;0900;20;;;
251026;1000;24;;;
251026;1100;33;;;
251026;1200;35;;;
251026;1300;20;;;
251026;1400;27;;;
251026;1500;41;;;
251026;1600;38;;;
251026;1700;29;;;
251026;1800;27;;;
251026;1900;24;;;
251026;2000;11;;;
251026;2100;4;;;
251026;2200;;1;;
251026;2300;2;;;
251027;0000;11;;;
251027;0100;21;;;
251027;0200;18;;;
251027;0300;11;;;
251027;0400;11;;;
251027;0500;7;;;
251027;0600;7;;;
251027;0700;2;;;
251027;0800;5;;;
251027;0900;14;;;
251027;1000;18;;;
251027;1100;13;;;
251027;1200;13;;;
251027;1300;21;;;
251027;1400;22;;;
251027;1500;20;;;
251027;1600;23;;;
251027;1700;;;37;
251027;1800;38;;;
251027;1900;26;;;
251027;2000;12;;;
251027;2100;4;;;
251027;2200;1;;;
251027;2300;3;;;
251028;0000;8;;;
251028;0100;11;;;
251028;0200;9;;;
251028;0300;7;;;
251028;0400;11;;;
251028;0500;14;;;
251028;0600;12;;;
251028;0700;7;;;
251028;0800;;1;;
251028;0900;;;;
251028;1000;;;;
251028;1100;;1;;
251028;1200;;1;;
251028;1300;9;;;
251028;1400;25;;;
251028;1500;26;;;
251028;1600;24;;;
251028;1700;;;22;
251028;1800;18;;;
251028;1900;23;;;
251028;2000;22;;;
251028;2100;18;;;
251028;2200;4;;;
251028;2300;;1;;
251029;0000;;1;;
251029;0100;1;;;
251029;0200;5;;;
251029;0300;16;;;
251029;0400;22;;;
251029;0500;25;;;
251029;0600;24;;;
251029;0700;18;;;
251029;0800;12;;;
251029;0900;13;;;
251029;1000;11;;;
251029;1100;6;;;
251029;1200;7;;;
251029;1300;9;;;
251029;1400;14;;;
251029;1500;16;;;
251029;1600;14;;;
251029;1700;3;;;
251029;1800;12;;;
251029;1900;14;;;
251029;2000;13;;;
251029;2100;13;;;
251029;2200;12;;;
251029;2300;3;;;
251030;0000;;1;;
251030;0100;;1;;
251030;0200;;1;;
251030;0300;7;;;
251030;0400;17;;;
251030;0500;22;;;
251030;0600;8;;;
251030;0700;7;;;
251030;0800;7;;;
251030;0900;12;;;
251030;1000;5;;;
251030;1100;8;;;
251030;1200;11;;;
251030;1300;5;;;
251030;1400;11;;;
251030;1500;2;;;
251030;1600;;;;
251030;1700;;1;;
251030;1800;;1;;
251030;1900;;1;;
251030;2000;;1;;
251030;2100;;1;;
251030;2200;;1;;
251030;2300;;1;;
251031;0000;1;;;
251031;0100;1;;;
251031;0200;4;;;
251031;0300;2;;;
251031;0400;5;;;
251031;0500;7;;;
251031;0600;6;;;
251031;0700;12;;;
251031;0800;20;;;
251031;0900;22;;;
251031;1000;10;;;
251031;1100;7;;;
251031;1200;7;;;
251031;1300;1;;;
251031;1400;3;;;
251031;1500;11;;;
251031;1600;11;;;
251031;1700;9;;;
251031;1800;10;;;
251031;1900;12;;;
251031;2000;11;;;
251031;2100;10;;;
251031;2200;12;;;
251031;2300;13;;;
251101;0000;17;;;
251101;0100;20;;;
251101;0200;8;;;
251101;0300;5;;;
251101;0400;5;;;
251101;0500;7;;;
251101;0600;3;;;
251101;0700;3;;;
251101;0800;1;;;
251101;0900;1;;;
251101;1000;1;;;
251101;1100;2;;;
251101;1200;6;;;
251101;1300;10;;;
251101;1400;13;;;
251101;1500;25;;;
251101;1600;21;;;
251101;1700;10;;;
251101;1800;6;;;
251101;1900;11;;;
251101;2000;9;;;
251101;2100;6;;;
251101;2200;2;;;
251101;2300;6;;;
251102;0000;9;;;
251102;0100;11;;;
251102;0200;11;;;
251102;0300;11;;;
251102;0400;13;;;
251102;0500;10;;;
251102;0600;17;;;
251102;0700;18;;;
251102;0800;16;;;
251102;0900;9;;;
251102;1000;7;;;
251102;1100;1;;;
251102;1200;1;;;
251102;1300;;;;
251102;1400;;;;
251102;1500;;;;
251102;1600;1;;;
251102;1700;1;;;
251102;1800;1;;;
251102;1900;1;;;
251102;2000;1;;;
251102;2100;6;;;
251102;2200;9;;;
251102;2300;8;;;
251103;0000;6;;;
251103;0100;1;;;
251103;0200;11;;;
251103;0300;21;;;
251103;0400;19;;;
251103;0500;20;;;
251103;0600;11;;;
251103;0700;4;;;
251103;0800;1;;;
251103;0900;2;;;
251103;1000;2;;;
251103;1100;5;;;
251103;1200;2;;;
251103;1300;10;;;
251103;1400;14;;;
251103;1500;9;;;
251103;1600;1;;;
251103;1700;3;;;
251103;1800;5;;;
251103;1900;10;;;
251103;2000;10;;;
251103;2100;7;;;
251103;2200;1;;;
251103;2300;1;;;
251104;0000;1;;;
251104;0100;1;;;
251104;0200;1;;;
251104;0300;1;;;
251104;0400;7;;;
251104;0500;17;;;
251104;0600;14;;;
251104;0700;7;;;
251104;0800;1;;;
251104;0900;1;;;
251104;1000;9;;;
251104;1100;27;;;
251104;1200;26;;;
251104;1300;31;;;
251104;1400;21;;;
251104;1500;10;;;
251104;1600;10;;;
251104;1700;9;;;
251104;1800;4;;;
251104;1900;5;;;
251104;2000;6;;;
251104;2100;5;;;
251104;2200;2;;;
251104;2300;2;;;
251105;0000;1;;;
251105;0100;1;;;
251105;0200;2;;;
251105;0300;9;;;
251105;0400;9;;;
251105;0500;13;;;
251105;0600;13;;;
251105;0700;16;;;
251105;0800;20;;;
251105;0900;17;;;
251105;1000;15;;;
251105;1100;10;;;
251105;1200;3;;;
251105;1300;14;;;
251105;1400;14;;;
251105;1500;12;;;
251105;1600;24;;;
251105;1700;32;;;
251105;1800;22;;;
251105;1900;9;;;
251105;2000;1;;;
251105;2100;2;;;
251105;2200;7;;;
251105;2300;7;;;
251106;0000;3;;;
251106;0100;1;;;
251106;0200;3;;;
251106;0300;7;;;
251106;0400;5;;;
251106;0500;14;;;
251106;0600;18;;;
251106;0700;12;;;
251106;0800;7;;;
251106;0900;9;;;
251106;1000;6;;;
251106;1100;1;;;
251106;1200;1;;;
251106;1300;1;;;
251106;1400;3;;;
251106;1500;12;;;
251106;1600;11;;;
251106;1700;14;;;
251106;1800;22;;;
251106;1900;18;;;
251106;2000;11;;;
251106;2100;2;;;
251106;2200;2;;;
251106;2300;2;;;
251107;0000;;;;
251107;0100;3;;;
251107;0200;1;;;
251107;0300;;;;
251107;0400;;;;
251107;0500;14;;;
251107;0600;18;;;
251107;0700;15;;;
251107;0800;21;;;
251107;0900;35;;;
251107;1000;36;;;
251107;1100;28;;;
251107;1200;26;;;
251107;1300;18;;;
251107;1400;15;;;
251107;1500;22;;;
251107;1600;17;;;
251107;1700;7;;;
251107;1800;6;;;
251107;1900;10;;;
251107;2000;9;;;
251107;2100;7;;;
251107;2200;2;;;
251107;2300;1;;;
251108;0000;4;;;
251108;0100;5;;;
251108;0200;2;;;
251108;0300;6;;;
251108;0400;16;;;
251108;0500;24;;;
251108;0600;14;;;
251108;0700;1;;;
251108;0800;4;;;
251108;0900;10;;;
251108;1000;15;;;
251108;1100;22;;;
251108;1200;17;;;
251108;1300;11;;;
251108;1400;5;;;
251108;1500;11;;;
251108;1600;36;;;
251108;1700;35;;;
251108;1800;28;;;
251108;1900;17;;;
251108;2000;7;;;
251108;2100;9;;;
251108;2200;3;;;
251108;2300;1;;;
251109;0000;1;;;
251109;0100;4;;;
251109;0200;6;;;
251109;0300;7;;;
251109;0400;12;;;
251109;0500;15;;;
251109;0600;12;;;
251109;0700;6;;;
251109;0800;6;;;
251109;0900;8;;;
251109;1000;11;;;
251109;1100;14;;;
251109;1200;8;;;
251109;1300;18;;;
251109;1400;22;;;
251109;1500;25;;;
251109;1600;20;;;
251109;1700;18;;;
251109;1800;19;;;
251109;1900;13;;;
251109;2000;9;;;
251109;2100;6;;;
251109;2200;3;;;
251109;2300;1;;;
251110;0000;4;;;
251110;0100;8;;;
251110;0200;13;;;
251110;0300;19;;;
251110;0400;26;;;
251110;0500;21;;;
251110;0600;8;;;
251110;0700;1;;;
251110;0800;2;;;
251110;0900;5;;;
251110;1000;10;;;
251110;1100;10;;;
251110;1200;18;;;
251110;1300;28;;;
251110;1400;27;;;
251110;1500;24;;;
251110;1600;26;;;
251110;1700;27;;;
251110;1800;20;;;
251110;1900;14;;;
