Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-10-21;Arica;;;;10.30;20.61;68.70;Bueno;Bueno
2025-10-22;Arica;;;;13.29;26.58;88.61;Bueno;Bueno
2025-10-23;Arica;;;;13.88;27.75;92.50;Bueno;Bueno
2025-10-24;Arica;;;;14.00;28.00;93.33;Bueno;Bueno
2025-10-25;Arica;;;;11.29;22.58;75.28;Bueno;Bueno
2025-10-26;Arica;;;;13.79;27.58;91.94;Bueno;Bueno
2025-10-27;Arica;;;;11.21;22.42;74.72;Bueno;Bueno
2025-10-28;Arica;;;;12.62;25.25;84.17;Bueno;Bueno
2025-10-29;Arica;;;;10.62;21.25;70.83;Bueno;Bueno
2025-10-30;Arica;;;;14.88;29.75;99.17;Bueno;Bueno
2025-10-31;Arica;;;;16.96;33.92;104.23;Bueno;Regular
2025-11-01;Arica;;;;14.42;28.83;96.11;Bueno;Bueno
2025-11-02;Arica;;;;12.75;25.50;85.00;Bueno;Bueno
2025-11-03;Arica;;;;14.33;28.67;95.56;Bueno;Bueno
2025-11-04;Arica;;;;16.35;32.70;102.91;Bueno;Regular
2025-11-05;Arica;;;;15.83;31.67;101.80;Bueno;Regular
2025-11-06;Arica;;;;15.05;30.10;100.10;Bueno;Regular
2025-11-07;Arica;;;;14.86;29.73;99.09;Bueno;Bueno
2025-11-08;Arica;;;;13.32;26.64;88.79;Bueno;Bueno
2025-11-09;Arica;;;;13.12;26.25;87.50;Bueno;Bueno
2025-11-10;Arica;;;;14.00;28.00;93.33;Bueno;Bueno
2025-11-11;Arica;;;;15.92;31.83;101.98;Bueno;Regular
2025-11-12;Arica;;;;11.62;23.25;77.50;Bueno;Bueno
2025-11-13;Arica;;;;14.25;28.50;95.00;Bueno;Bueno
2025-11-14;Arica;;;;13.83;27.67;92.22;Bueno;Bueno
2025-11-15;Arica;;;;13.25;26.50;88.33;Bueno;Bueno
2025-11-16;Arica;;;;13.96;27.92;93.06;Bueno;Bueno
2025-11-17;Arica;;;;12.12;24.25;80.83;Bueno;Bueno
2025-11-18;Arica;;;;14.21;28.42;94.72;Bueno;Bueno
2025-11-19;Arica;;;;27.74;55.48;127.63;Bueno;Regular
2025-11-20;Arica;;;;21.22;42.43;113.45;Bueno;Regular
2025-11-21;Arica;;;;11.26;22.52;75.07;Bueno;Bueno
2025-11-22;Arica;;;;10.75;21.50;71.67;Bueno;Bueno
2025-11-23;;;;;;;;;
2025-11-24;;;;;;;;;
2025-11-25;Arica;;;;16.26;32.52;102.72;Bueno;Regular
2025-11-26;Arica;;;;14.08;28.17;93.89;Bueno;Bueno
2025-11-27;Arica;;;;13.46;26.92;89.72;Bueno;Bueno
2025-11-28;Arica;;;;18.29;36.58;107.12;Bueno;Regular
2025-11-29;Arica;;;;11.88;23.75;79.17;Bueno;Bueno
2025-11-30;Arica;;;;16.04;32.08;102.25;Bueno;Regular
2025-12-01;Arica;;;;17.42;34.83;105.22;Bueno;Regular
2025-12-02;Arica;;;;19.73;39.45;110.22;Bueno;Regular
2025-12-03;Arica;;;;11.29;22.58;75.28;Bueno;Bueno
2025-12-04;Arica;;;;16.10;32.19;102.37;Bueno;Regular
2025-12-05;Arica;;;;13.13;26.26;87.54;Bueno;Bueno
2025-12-06;Arica;;;;10.50;21.00;70.00;Bueno;Bueno
2025-12-07;Arica;;;;11.33;22.67;75.56;Bueno;Bueno
2025-12-08;Arica;;;;10.75;21.50;71.67;Bueno;Bueno
2025-12-09;Arica;;;;10.04;20.08;66.94;Bueno;Bueno
2025-12-10;Arica;;;;12.24;24.48;81.59;Bueno;Bueno
2025-12-11;Arica;;;;14.96;29.92;99.72;Bueno;Bueno
2025-12-12;Arica;;;;15.41;30.82;100.88;Bueno;Regular
2025-12-13;Arica;;;;8.83;17.67;58.89;Bueno;Bueno
2025-12-14;Arica;;;;17.50;35.00;105.40;Bueno;Regular
2025-12-15;;;;;;;;;
2025-12-16;;;;;;;;;
2025-12-17;;;;;;;;;
2025-12-18;;;;;;;;;
2025-12-19;Arica;;;;15.71;31.42;101.53;Bueno;Regular
2025-12-20;Arica;;;;28.00;56.00;128.19;Bueno;Regular
2025-12-21;Arica;;;;15.26;30.52;100.56;Bueno;Regular
2025-12-22;Arica;;;;18.08;36.17;106.67;Bueno;Regular
2025-12-23;Arica;;;;16.78;33.57;103.85;Bueno;Regular
2025-12-24;Arica;;;;34.67;69.33;142.74;Bueno;Regular
2025-12-25;Arica;;;;27.95;55.90;128.09;Bueno;Regular
2025-12-26;Arica;;;;20.42;40.83;111.72;Bueno;Regular
2025-12-27;Arica;;;;16.75;33.50;103.78;Bueno;Regular
2025-12-28;Arica;;;;16.25;32.50;102.70;Bueno;Regular
2025-12-29;;;;;;;;;
2025-12-30;;;;;;;;;
2025-12-31;Arica;;;;17.88;35.75;106.21;Bueno;Regular
2026-01-01;Arica;;;;30.25;60.50;133.10;Bueno;Regular
2026-01-02;Arica;;;;22.86;45.73;117.03;Bueno;Regular
2026-01-03;Arica;;;;19.96;39.92;110.73;Bueno;Regular
2026-01-04;Arica;;;;13.88;27.75;92.50;Bueno;Bueno
2026-01-05;Arica;;;;16.95;33.90;104.22;Bueno;Regular
2026-01-06;Arica;;;;21.32;42.64;113.67;Bueno;Regular
2026-01-07;Arica;;;;18.00;36.00;106.49;Bueno;Regular
2026-01-08;Arica;;;;21.85;43.70;114.83;Bueno;Regular
2026-01-09;Arica;;;;27.96;55.91;128.10;Bueno;Regular
2026-01-10;Arica;;;;19.95;39.90;110.71;Bueno;Regular
2026-01-11;Arica;;;;16.18;32.36;102.55;Bueno;Regular
2026-01-12;Arica;;;;16.50;33.00;103.24;Bueno;Regular
2026-01-13;Arica;;;;13.35;26.70;89.00;Bueno;Bueno
2026-01-14;Arica;;;;16.81;33.62;103.91;Bueno;Regular
2026-01-15;Arica;;;;15.90;31.81;101.95;Bueno;Regular
2026-01-16;;;;;;;;;
2026-01-17;;;;;;;;;
2026-01-18;Arica;;;;15.86;31.73;101.87;Bueno;Regular
2026-01-19;Arica;;;;17.45;34.91;105.31;Bueno;Regular
2026-01-20;Arica;;;;17.90;35.81;106.28;Bueno;Regular
2026-01-21;Arica;;;;18.38;36.76;107.31;Bueno;Regular
2026-01-22;Arica;;;;18.52;37.05;107.62;Bueno;Regular
2026-01-23;Arica;;;;19.00;38.00;108.65;Bueno;Regular
