FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
250727;0100;62;;;
250727;0200;12;;;
250727;0300;10;;;
250727;0400;6;;;
250727;0500;5;;;
250727;0600;18;;;
250727;0700;42;;;
250727;0800;95;;;
250727;0900;46;;;
250727;1000;137;;;
250727;1100;62;;;
250727;1200;71;;;
250727;1300;45;;;
250727;1400;45;;;
250727;1500;45;;;
250727;1600;52;;;
250727;1700;107;;;
250727;1800;120;;;
250727;1900;100;;;
250727;2000;116;;;
250727;2100;165;;;
250727;2200;132;;;
250727;2300;149;;;
250728;0000;119;;;
250728;0100;87;;;
250728;0200;84;;;
250728;0300;75;;;
250728;0400;103;;;
250728;0500;104;;;
250728;0600;145;;;
250728;0700;105;;;
250728;0800;101;;;
250728;0900;139;;;
250728;1000;152;;;
250728;1100;107;;;
250728;1200;99;;;
250728;1300;148;;;
250728;1400;107;;;
250728;1500;145;;;
250728;1600;114;;;
250728;1700;173;;;
250728;1800;176;;;
250728;1900;175;;;
250728;2000;218;;;
250728;2100;210;;;
250728;2200;267;;;
250728;2300;241;;;
250729;0000;162;;;
250729;0100;273;;;
250729;0200;188;;;
250729;0300;120;;;
250729;0400;151;;;
250729;0500;126;;;
250729;0600;256;;;
250729;0700;217;;;
250729;0800;157;;;
250729;0900;111;;;
250729;1000;260;;;
250729;1100;196;;;
250729;1200;110;;;
250729;1300;206;;;
250729;1400;263;;;
250729;1500;218;;;
250729;1600;256;;;
250729;1700;285;;;
250729;1800;177;;;
250729;1900;266;;;
250729;2000;205;;;
250729;2100;250;;;
250729;2200;135;;;
250729;2300;86;;;
250730;0000;69;;;
250730;0100;72;;;
250730;0200;93;;;
250730;0300;117;;;
250730;0400;50;;;
250730;0500;109;;;
250730;0600;186;;;
250730;0700;175;;;
250730;0800;232;;;
250730;0900;314;;;
250730;1000;198;;;
250730;1100;210;;;
250730;1200;141;;;
250730;1300;96;;;
250730;1400;69;;;
250730;1500;;;;
