Fecha;Estacion_seleccionada;PromedioDiario_MP10;ICAP_MP10;ICAP_mod_MP10;PromedioDiario_MP2_5;ICAP_MP2_5;ICAP_mod_MP2_5;condicion_final;condicion_mod
2025-09-24;Quilpue_Gimnasio;38.33;29.49;85.19;13.21;26.42;88.06;Bueno;Bueno
2025-09-25;Quilpue_Gimnasio;26.54;20.42;58.98;14.08;28.17;93.89;Bueno;Bueno
2025-09-26;Valparaiso;;;;6.62;13.25;44.17;Bueno;Bueno
2025-09-27;Vina_del_Mar;15.33;11.79;34.07;5.0;10.0;33.33;Bueno;Bueno
2025-09-28;Vina_del_Mar;17.0;13.08;37.78;5.96;11.92;39.72;Bueno;Bueno
2025-09-29;Vina_del_Mar;23.22;17.86;51.59;7.83;15.65;52.17;Bueno;Bueno
2025-09-30;Vina_del_Mar;39.17;30.13;87.04;11.58;23.17;77.22;Bueno;Bueno
2025-10-01;Quilpue_Gimnasio;46.08;35.45;101.77;14.83;29.67;98.89;Bueno;Regular
2025-10-02;Quilpue_Gimnasio;45.42;34.94;100.68;17.25;34.5;104.86;Bueno;Regular
2025-10-03;Vina_del_Mar;15.5;11.92;34.44;7.83;15.67;52.22;Bueno;Bueno
2025-10-04;Vina_del_Mar;13.21;10.16;29.35;4.21;8.42;28.06;Bueno;Bueno
2025-10-05;Vina_del_Mar;10.05;7.73;22.33;1.86;3.71;12.38;Bueno;Bueno
2025-10-06;Vina_del_Mar;20.05;15.42;44.56;2.85;5.7;19.0;Bueno;Bueno
2025-10-07;Vina_del_Mar;24.92;19.17;55.37;7.21;14.42;48.06;Bueno;Bueno
2025-10-08;Quilpue_Gimnasio;32.17;24.74;71.48;11.92;23.83;79.44;Bueno;Bueno
2025-10-09;Quilpue_Gimnasio;20.08;15.45;44.63;11.33;22.67;75.56;Bueno;Bueno
2025-10-10;Vina_del_Mar;17.67;13.59;39.26;5.79;11.58;38.61;Bueno;Bueno
2025-10-11;Vina_del_Mar;19.67;15.13;43.7;4.12;8.25;27.5;Bueno;Bueno
2025-10-12;Vina_del_Mar;21.67;16.67;48.15;7.5;15.0;50.0;Bueno;Bueno
2025-10-13;Quilpue_Gimnasio;29.33;22.56;65.19;9.33;18.67;62.22;Bueno;Bueno
2025-10-14;Quilpue_Gimnasio;23.62;18.17;52.5;11.54;23.08;76.94;Bueno;Bueno
2025-10-15;Vina_del_Mar;20.26;15.59;45.02;7.78;15.57;51.88;Bueno;Bueno
2025-10-16;Vina_del_Mar;34.3;26.39;76.23;9.7;19.39;64.64;Bueno;Bueno
2025-10-17;Vina_del_Mar;43.54;33.49;96.76;13.17;26.33;87.78;Bueno;Bueno
2025-10-18;Quilpue_Gimnasio;39.38;30.29;87.5;15.25;30.5;100.54;Bueno;Regular
2025-10-19;Vina_del_Mar;19.83;15.26;44.07;9.33;18.67;62.22;Bueno;Bueno
2025-10-20;Vina_del_Mar;20.67;15.9;45.93;5.88;11.75;39.17;Bueno;Bueno
2025-10-21;Quilpue_Gimnasio;24.22;18.63;53.82;6.78;13.57;45.22;Bueno;Bueno
2025-10-22;Quilpue_Gimnasio;31.96;24.58;71.02;9.25;18.5;61.67;Bueno;Bueno
2025-10-23;Quilpue_Gimnasio;20.58;15.83;45.74;6.29;12.58;41.94;Bueno;Bueno
2025-10-24;Vina_del_Mar;30.08;23.14;66.85;4.54;9.08;30.28;Bueno;Bueno
2025-10-25;Vina_del_Mar;32.29;24.84;71.76;5.75;11.5;38.33;Bueno;Bueno
2025-10-26;Quilpue_Gimnasio;21.96;16.89;48.8;5.79;11.58;38.61;Bueno;Bueno
2025-10-27;Quilpue_Gimnasio;27.54;21.19;61.2;8.96;17.92;59.72;Bueno;Bueno
2025-10-28;Quilpue_Gimnasio;38.21;29.39;84.91;11.83;23.67;78.89;Bueno;Bueno
2025-10-29;Quilpue_Gimnasio;33.21;25.54;73.8;10.38;20.75;69.17;Bueno;Bueno
2025-10-30;Vina_del_Mar;34.33;26.41;76.3;8.17;16.33;54.44;Bueno;Bueno
2025-10-31;Quilpue_Gimnasio;22.21;17.08;49.35;7.67;15.33;51.11;Bueno;Bueno
2025-11-01;Vina_del_Mar;25.54;19.65;56.76;6.83;13.67;45.56;Bueno;Bueno
2025-11-02;Quilpue_Gimnasio;27.29;20.99;60.65;9.92;19.83;66.11;Bueno;Bueno
2025-11-03;Vina_del_Mar;20.46;15.74;45.46;7.62;15.25;50.83;Bueno;Bueno
2025-11-04;Vina_del_Mar;24.21;18.62;53.8;6.58;13.17;43.89;Bueno;Bueno
2025-11-05;Quilpue_Gimnasio;20.71;15.93;46.02;6.58;13.17;43.89;Bueno;Bueno
2025-11-06;Quilpue_Gimnasio;22.71;17.47;50.46;6.25;12.5;41.67;Bueno;Bueno
2025-11-07;Vina_del_Mar;27.33;21.03;60.74;5.5;11.0;36.67;Bueno;Bueno
2025-11-08;Vina_del_Mar;21.62;16.63;48.06;6.5;13.0;43.33;Bueno;Bueno
2025-11-09;Vina_del_Mar;20.17;15.51;44.81;4.54;9.08;30.28;Bueno;Bueno
2025-11-10;Vina_del_Mar;21.71;16.7;48.24;6.04;12.08;40.28;Bueno;Bueno
2025-11-11;Vina_del_Mar;30.83;23.72;68.52;4.17;8.33;27.78;Bueno;Bueno
2025-11-12;Quilpue_Gimnasio;28.43;21.87;63.17;6.43;12.86;42.86;Bueno;Bueno
2025-11-13;Quilpue_Gimnasio;36.33;27.95;80.74;11.04;22.08;73.61;Bueno;Bueno
2025-11-14;Vina_del_Mar;31.88;24.52;70.83;9.08;18.17;60.56;Bueno;Bueno
2025-11-15;Vina_del_Mar;17.12;13.17;38.06;5.04;10.08;33.61;Bueno;Bueno
2025-11-16;Vina_del_Mar;23.25;17.88;51.67;6.83;13.67;45.56;Bueno;Bueno
2025-11-17;Vina_del_Mar;51.42;39.55;110.52;10.0;20.0;66.67;Bueno;Regular
2025-11-18;Quilpue_Gimnasio;46.79;35.99;102.93;12.58;25.17;83.89;Bueno;Regular
2025-11-19;Quilpue_Gimnasio;28.12;21.63;62.5;9.42;18.83;62.78;Bueno;Bueno
2025-11-20;Quilpue_Gimnasio;19.88;15.29;44.17;6.75;13.5;45.0;Bueno;Bueno
2025-11-21;Quilpue_Gimnasio;31.25;24.04;69.44;9.96;19.92;66.39;Bueno;Bueno
2025-11-22;Quilpue_Gimnasio;29.5;22.69;65.56;12.08;24.17;80.56;Bueno;Bueno
2025-11-23;Vina_del_Mar;22.67;17.44;50.37;6.67;13.33;44.44;Bueno;Bueno
2025-11-24;Vina_del_Mar;18.08;13.91;40.19;4.58;9.17;30.56;Bueno;Bueno
2025-11-25;Vina_del_Mar;14.25;10.96;31.67;3.5;7.0;23.33;Bueno;Bueno
2025-11-26;Vina_del_Mar;17.46;13.43;38.8;4.62;9.25;30.83;Bueno;Bueno
2025-11-27;Quilpue_Gimnasio;18.87;14.52;41.93;5.3;10.61;35.36;Bueno;Bueno
2025-11-28;Quilpue_Gimnasio;17.58;13.53;39.07;4.75;9.5;31.67;Bueno;Bueno
2025-11-29;Vina_del_Mar;15.33;11.79;34.07;3.12;6.25;20.83;Bueno;Bueno
2025-11-30;Vina_del_Mar;16.38;12.6;36.39;3.42;6.83;22.78;Bueno;Bueno
2025-12-01;Quilpue_Gimnasio;22.08;16.99;49.07;5.79;11.58;38.61;Bueno;Bueno
2025-12-02;Vina_del_Mar;24.62;18.94;54.72;6.0;12.0;40.0;Bueno;Bueno
2025-12-03;Quilpue_Gimnasio;26.79;20.61;59.54;7.71;15.42;51.39;Bueno;Bueno
2025-12-04;Quilpue_Gimnasio;14.67;11.28;32.59;5.12;10.25;34.17;Bueno;Bueno
2025-12-05;Quilpue_Gimnasio;29.08;22.37;64.63;8.75;17.5;58.33;Bueno;Bueno
2025-12-06;Vina_del_Mar;27.46;21.12;61.02;7.92;15.83;52.78;Bueno;Bueno
2025-12-07;Vina_del_Mar;23.12;17.79;51.39;8.0;16.0;53.33;Bueno;Bueno
2025-12-08;Vina_del_Mar;25.58;19.68;56.85;6.96;13.92;46.39;Bueno;Bueno
2025-12-09;Vina_del_Mar;18.17;13.97;40.37;7.04;14.08;46.94;Bueno;Bueno
2025-12-10;Quilpue_Gimnasio;20.62;15.87;45.83;6.12;12.25;40.83;Bueno;Bueno
2025-12-11;Vina_del_Mar;18.42;14.17;40.93;4.17;8.33;27.78;Bueno;Bueno
2025-12-12;Quilpue_Gimnasio;19.75;15.19;43.89;7.71;15.42;51.39;Bueno;Bueno
2025-12-13;Quilpue_Gimnasio;16.29;12.53;36.2;6.67;13.33;44.44;Bueno;Bueno
2025-12-14;Quilpue_Gimnasio;20.33;15.64;45.19;5.88;11.75;39.17;Bueno;Bueno
2025-12-15;Vina_del_Mar;56.04;43.11;118.11;18.38;36.75;107.3;Bueno;Regular
2025-12-16;Vina_del_Mar;54.79;42.15;116.06;22.17;44.33;115.51;Bueno;Regular
2025-12-17;Vina_del_Mar;28.24;21.72;62.75;7.48;14.95;49.84;Bueno;Bueno
2025-12-18;Quilpue_Gimnasio;26.08;20.06;57.96;9.92;19.83;66.11;Bueno;Bueno
2025-12-19;Quilpue_Gimnasio;21.25;16.35;47.22;9.62;19.25;64.17;Bueno;Bueno
2025-12-20;Quilpue_Gimnasio;19.38;14.9;43.06;7.17;14.33;47.78;Bueno;Bueno
2025-12-21;Quilpue_Gimnasio;16.04;12.34;35.65;5.88;11.75;39.17;Bueno;Bueno
2025-12-22;Vina_del_Mar;19.75;15.19;43.89;4.25;8.5;28.33;Bueno;Bueno
2025-12-23;Quilpue_Gimnasio;24.46;18.81;54.35;5.79;11.58;38.61;Bueno;Bueno
2025-12-24;Vina_del_Mar;27.17;20.9;60.37;;;;Bueno;Bueno
2025-12-25;Quilpue_Gimnasio;33.12;25.48;73.61;10.42;20.83;69.44;Bueno;Bueno
2025-12-26;Vina_del_Mar;28.04;21.57;62.31;;;;Bueno;Bueno
2025-12-27;Vina_del_Mar;29.33;22.56;65.19;;;;Bueno;Bueno
2025-12-28;Quilpue_Gimnasio;29.71;22.85;66.02;9.04;18.08;60.28;Bueno;Bueno
2025-12-29;Quilpue_Gimnasio;33.04;25.42;73.43;12.5;25.0;83.33;Bueno;Bueno
2025-12-30;Quilpue_Gimnasio;37.54;28.88;83.43;14.04;28.08;93.61;Bueno;Bueno
2025-12-31;Vina_del_Mar;27.12;20.87;60.28;7.83;15.67;52.22;Bueno;Bueno
2026-01-01;Valparaiso;;;;24.09;48.17;119.68;Bueno;Regular
2026-01-02;Vina_del_Mar;13.88;10.67;30.83;3.71;7.42;24.72;Bueno;Bueno
2026-01-03;Vina_del_Mar;16.71;12.85;37.13;5.12;10.25;34.17;Bueno;Bueno
2026-01-04;Vina_del_Mar;20.0;15.38;44.44;6.42;12.83;42.78;Bueno;Bueno
2026-01-05;Vina_del_Mar;18.12;13.94;40.28;6.38;12.75;42.5;Bueno;Bueno
2026-01-06;Vina_del_Mar;18.67;14.36;41.48;5.04;10.08;33.61;Bueno;Bueno
2026-01-07;Quilpue_Gimnasio;19.75;15.19;43.89;6.54;13.08;43.61;Bueno;Bueno
2026-01-08;Vina_del_Mar;25.62;19.71;56.94;7.75;15.5;51.67;Bueno;Bueno
2026-01-09;Quilpue_Gimnasio;31.46;24.2;69.91;11.96;23.92;79.72;Bueno;Bueno
2026-01-10;Quilpue_Gimnasio;23.62;18.17;52.5;10.92;21.83;72.78;Bueno;Bueno
