FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
260115;2300;29;;;
260116;0000;29;;;
260116;0100;36;;;
260116;0200;29;;;
260116;0300;50;;;
260116;0400;41;;;
260116;0500;83;;;
260116;0600;45;;;
260116;0700;41;;;
260116;0800;58;;;
260116;0900;51;;;
260116;1000;35;;;
260116;1100;62;;;
260116;1200;31;;;
260116;1300;29;;;
260116;1400;27;;;
260116;1500;34;;;
260116;1600;40;;;
260116;1700;39;;;
260116;1800;32;;;
260116;1900;30;;;
260116;2000;27;;;
260116;2100;34;;;
260116;2200;36;;;
260116;2300;29;;;
260117;0000;26;;;
260117;0100;34;;;
260117;0200;29;;;
260117;0300;25;;;
260117;0400;34;;;
260117;0500;22;;;
260117;0600;38;;;
260117;0700;23;;;
260117;0800;31;;;
260117;0900;28;;;
260117;1000;25;;;
260117;1100;23;;;
260117;1200;26;;;
260117;1300;36;;;
260117;1400;34;;;
260117;1500;57;;;
260117;1600;47;;;
260117;1700;46;;;
260117;1800;52;;;
260117;1900;49;;;
260117;2000;52;;;
260117;2100;53;;;
260117;2200;49;;;
260117;2300;42;;;
260118;0000;46;;;
260118;0100;56;;;
260118;0200;40;;;
260118;0300;37;;;
260118;0400;29;;;
260118;0500;36;;;
260118;0600;21;;;
260118;0700;48;;;
260118;0800;45;;;
260118;0900;51;;;
260118;1000;36;;;
260118;1100;33;;;
260118;1200;34;;;
260118;1300;48;;;
260118;1400;42;;;
260118;1500;50;;;
260118;1600;52;;;
260118;1700;46;;;
260118;1800;47;;;
260118;1900;54;;;
260118;2000;59;;;
260118;2100;53;;;
260118;2200;56;;;
260118;2300;51;;;
260119;0000;46;;;
260119;0100;219;;;
260119;0200;836;;;
260119;0300;104;;;
260119;0400;41;;;
260119;0500;112;;;
260119;0600;45;;;
260119;0700;54;;;
260119;0800;58;;;
260119;0900;92;;;
260119;1000;;;215;
260119;1100;;;;
260119;1200;;;;
260119;1300;108;;;
260119;1400;92;;;
260119;1500;96;;;
260119;1600;90;;;
260119;1700;78;;;
260119;1800;62;;;
260119;1900;55;;;
260119;2000;101;;;
260119;2100;118;;;
260119;2200;93;;;
260119;2300;71;;;
260120;0000;35;;;
260120;0100;34;;;
260120;0200;104;;;
260120;0300;58;;;
260120;0400;58;;;
260120;0500;49;;;
260120;0600;99;;;
260120;0700;454;;;
260120;0800;86;;;
260120;0900;63;;;
260120;1000;48;;;
260120;1100;49;;;
260120;1200;56;;;
260120;1300;51;;;
260120;1400;52;;;
260120;1500;51;;;
260120;1600;82;;;
260120;1700;40;;;
260120;1800;40;;;
260120;1900;42;;;
260120;2000;43;;;
260120;2100;42;;;
260120;2200;60;;;
260120;2300;43;;;
260121;0000;40;;;
260121;0100;28;;;
260121;0200;24;;;
260121;0300;17;;;
260121;0400;20;;;
260121;0500;21;;;
260121;0600;41;;;
260121;0700;20;;;
260121;0800;28;;;
260121;0900;30;;;
260121;1000;25;;;
260121;1100;22;;;
260121;1200;21;;;
260121;1300;27;;;
260121;1400;30;;;
260121;1500;32;;;
260121;1600;26;;;
260121;1700;21;;;
260121;1800;37;;;
260121;1900;23;;;
260121;2000;28;;;
260121;2100;21;;;
260121;2200;20;;;
260121;2300;16;;;
260122;0000;66;;;
260122;0100;55;;;
260122;0200;383;;;
260122;0300;217;;;
260122;0400;91;;;
260122;0500;17;;;
260122;0600;539;;;
260122;0700;29;;;
260122;0800;39;;;
260122;0900;32;;;
260122;1000;44;;;
260122;1100;89;;;
260122;1200;31;;;
260122;1300;37;;;
260122;1400;32;;;
260122;1500;35;;;
260122;1600;23;;;
260122;1700;22;;;
260122;1800;35;;;
260122;1900;30;;;
260122;2000;24;;;
260122;2100;17;;;
260122;2200;28;;;
260122;2300;31;;;
260123;0000;40;;;
260123;0100;25;;;
260123;0200;55;;;
260123;0300;38;;;
260123;0400;30;;;
260123;0500;44;;;
260123;0600;30;;;
260123;0700;33;;;
260123;0800;34;;;
260123;0900;52;;;
260123;1000;30;;;
260123;1100;36;;;
260123;1200;44;;;
260123;1300;45;;;
260123;1400;51;;;
260123;1500;46;;;
260123;1600;40;;;
260123;1700;43;;;
260123;1800;52;;;
260123;1900;51;;;
260123;2000;63;;;
260123;2100;33;;;
260123;2200;28;;;
260123;2300;31;;;
260124;0000;25;;;
260124;0100;23;;;
260124;0200;27;;;
260124;0300;28;;;
260124;0400;28;;;
260124;0500;27;;;
260124;0600;31;;;
